chCountryCode	chRegionCode	chRegionName
TR  	ZNGL	Zonguldak                     
US  	AA  	APO - AA                      
US  	AE  	APO - AE                      
US  	AK  	Alaska                        
US  	AL  	Alabama                       
US  	AP  	APO - AP                      
US  	AR  	Arkansas                      
US  	AS  	Am. Samoa                     
US  	AZ  	Arizona                       
US  	CA  	California                    
US  	CO  	Colorado                      
US  	CT  	Connecticut                   
US  	DC  	Dist. of Columbia             
US  	DE  	Delaware                      
US  	FAP 	FPO - AP                      
US  	FL  	Florida                       
US  	GA  	Georgia                       
US  	GU  	Guam                          
US  	HI  	Hawaii                        
US  	IA  	Iowa                          
US  	ID  	Idaho                         
US  	IL  	Illinois                      
US  	IN  	Indiana                       
US  	KS  	Kansas                        
US  	KY  	Kentucky                      
US  	LA  	Louisiana                     
US  	MA  	Massachusetts                 
US  	MD  	Maryland                      
US  	ME  	Maine                         
US  	MI  	Michigan                      
US  	MN  	Minnesota                     
US  	MO  	Missouri                      
US  	MS  	Mississippi                   
US  	MT  	Montana                       
US  	NC  	North Carolina                
US  	ND  	North Dakota                  
US  	NE  	Nebraska                      
US  	NH  	New Hampshire                 
US  	NJ  	New Jersey                    
US  	NM  	New Mexico                    
US  	NV  	Nevada                        
US  	NY  	New York                      
US  	OH  	Ohio                          
US  	OK  	Oklahoma                      
US  	OR  	Oregon                        
US  	PA  	Pennsylvania                  
US  	PR  	Puerto Rico                   
US  	RI  	Rhode Island                  
US  	SC  	South Carolina                
US  	SD  	South Dakota                  
US  	TN  	Tennessee                     
US  	TX  	Texas                         
US  	UT  	Utah                          
US  	VA  	Virginia                      
US  	VI  	Virgin Islands                
US  	VT  	Vermont                       
US  	WA  	Washington                    
US  	WI  	Wisconsin                     
US  	WV  	West Virginia                 
US  	WY  	Wyoming                       
UY  	ARTG	Artigas                       
UY  	CLNA	Colonia                       
UY  	CNLN	Canelones                     
UY  	CRLG	Cerro-Largo                   
UY  	DRZN	Durazno                       
UY  	FLRD	Florida                       
UY  	FLRS	Flores                        
UY  	LVLJ	Lavalleja                     
UY  	MLDN	Maldonado                     
UY  	MNTV	Montevideo                    
UY  	PAYS	Paysandu                      
UY  	RCHA	Rocha                         
UY  	RNGR	Rio Negro                     
UY  	RVRA	Rivera                        
UY  	SJSE	San Jose                      
UY  	SLTO	Salto                         
UY  	SRNO	Soriano                       
UY  	TCRM	Tacuarembo                    
UY  	TYT 	Treinta y Tres                
VE  	AGAA	Aragua                        
VE  	ANZO	Anzoategui                    
VE  	APRE	Apure                         
VE  	BOLI	Bolivar                       
VE  	BRNS	Barinas                       
VE  	CBBO	Carabobo                      
VE  	FDSC	Federal District              
VE  	FLCN	Falcon                        
VE  	GRCO	Guarico                       
VE  	LRA 	Lara                          
VE  	MNGS	Monagas                       
VE  	MRD 	Merida                        
VE  	MRND	Miranda                       
VE  	NESP	Nueva Esparta                 
VE  	PRTG	Portuguesa                    
VE  	SU  	Sucre                         
VE  	TAZN	Ter. Amazonas                 
VE  	TCH 	Tachira                       
VE  	TDA 	Ter. Delta Amacuro            
VE  	TRUJ	Trujillo                      
VE  	YCY 	Yaracuy                       
VE  	ZLIA	Zulia                         
